date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:05	30581/30581	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:33%20GMT	https://ammaripa.com/index	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/index.html	(from )
22:26:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Nov%202022%2019:31:33%20GMT	https://ammaripa.com/robots.txt		(from )
22:26:07	89464/89464	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Sep%202019%2011:55:26%20GMT	https://ammaripa.com/images/logo.png	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/logo.png	(from https://ammaripa.com/index)
22:26:07	146010/146010	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2011:53:28%20GMT	https://ammaripa.com/css/bootstrap.css	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/css/bootstrap.css	(from https://ammaripa.com/index)
22:26:08	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/Users/ABO%20OMAR/Desktop/ipa/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://ammaripa.com/index)
22:26:08	11157/11157	---M--	200	added ('OK')	text/css	date:Thu,%2028%20May%202020%2014:19:18%20GMT	https://ammaripa.com/css/style.css?emad=1383	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/css/style85b3.css	(from https://ammaripa.com/index)
22:26:08	11157/11157	---M--	200	added ('OK')	text/css	date:Sun,%2031%20May%202020%2009:14:51%20GMT	https://ammaripa.com/css/style2.css?emadmohammed=4755	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/css/style2af8f.css	(from https://ammaripa.com/index)
22:26:08	2172/2172	---M--	200	added ('OK')	application/javascript	date:Wed,%2011%20Mar%202020%2009:17:28%20GMT	https://ammaripa.com/js/time.js	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/js/time.js	(from https://ammaripa.com/index)
22:26:09	3136/3136	---M--	200	added ('OK')	image/png	date:Wed,%2027%20May%202020%2018:25:42%20GMT	https://ammaripa.com/images/revoked.png	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/revoked.png	(from https://ammaripa.com/index)
22:26:09	10594/10594	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:37%20GMT	https://ammaripa.com/jailbreak	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/jailbreak.html	(from https://ammaripa.com/index)
22:26:09	10333/10333	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:37%20GMT	https://ammaripa.com/blog	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/blog.html	(from https://ammaripa.com/index)
22:26:10	9976/9976	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:37%20GMT	https://ammaripa.com/user	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/user.html	(from https://ammaripa.com/index)
22:26:10	25861/25861	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2020:24:24%20GMT	https://ammaripa.com/images/6D0E3295-8659-40D8-9765-D144B8DF42B2.png	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/6D0E3295-8659-40D8-9765-D144B8DF42B2.png	(from https://ammaripa.com/index)
22:26:10	43251/43251	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jul%202022%2015:25:26%20GMT	https://ammaripa.com/images/WhatsApp%20Image%202022-07-27%20at%2012.33.28%20PM.jpeg	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/WhatsApp%20Image%202022-07-27%20at%2012.33.28%20PM.jpg	(from https://ammaripa.com/index)
22:26:10	24748/24748	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Aug%202021%2020:25:45%20GMT	https://ammaripa.com/images/ECB8362D-A143-46ED-B078-6D20F921B9AA.png	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/ECB8362D-A143-46ED-B078-6D20F921B9AA.png	(from https://ammaripa.com/index)
22:26:12	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202022%2019:31:39%20GMT	http://ylx-aff.advertica-cdn.com/pub_0ei6v1.png	C:/Users/ABO%20OMAR/Desktop/ipa/ylx-aff.advertica-cdn.com/pub_0ei6v1.e.delayed	(from https://ammaripa.com/index)
22:26:13	11450/11450	---M--	200	added ('OK')	image/png	etag:%22583d681a-2cba%22	https://yllix.com/images/aff/pub_0ei6v1.png	C:/Users/ABO%20OMAR/Desktop/ipa/yllix.com/images/aff/pub_0ei6v1.png	(from https://ammaripa.com/index)
22:26:13	91942/91942	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Sep%202019%2015:19:50%20GMT	https://ammaripa.com/images/Telegram.png	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/Telegram.png	(from https://ammaripa.com/index)
22:26:13	6090/6090	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Oct%202019%2007:40:20%20GMT	https://ammaripa.com/images/FB985A48-00DB-47BE-86E8-65478863733E.png	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/FB985A48-00DB-47BE-86E8-65478863733E.png	(from https://ammaripa.com/index)
22:26:14	3911/3911	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Dec%202019%2023:00:40%20GMT	https://ammaripa.com/images/checkra1n-icon.png	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/checkra1n-icon.png	(from https://ammaripa.com/index)
22:26:14	8197/8197	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jun%202020%2005:53:44%20GMT	https://ammaripa.com/images/setting.jpg	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/setting.jpg	(from https://ammaripa.com/index)
22:26:14	10011/10011	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:42%20GMT	https://ammaripa.com/download?id=28	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/download1434.html	(from https://ammaripa.com/index)
22:26:14	8452/8452	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Mar%202020%2006:17:18%20GMT	https://ammaripa.com/images/unc0ver.jpg	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/unc0ver.jpg	(from https://ammaripa.com/index)
22:26:15	9980/9980	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:42%20GMT	https://ammaripa.com/download?id=118	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/download5cee.html	(from https://ammaripa.com/index)
22:26:15	18554/18554	---M--	200	added ('OK')	image/jpeg	date:Sun,%2009%20Oct%202022%2021:41:09%20GMT	https://ammaripa.com/images/D34CFDF5-E05C-492D-86B7-ACE9C3C967DC.jpeg	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/D34CFDF5-E05C-492D-86B7-ACE9C3C967DC.jpg	(from https://ammaripa.com/index)
22:26:15	9963/9963	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:43%20GMT	https://ammaripa.com/download?id=117	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/downloadd625.html	(from https://ammaripa.com/index)
22:26:15	3430/3430	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Apr%202021%2016:52:35%20GMT	https://ammaripa.com/images/Taurine.jpg	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/Taurine.jpg	(from https://ammaripa.com/index)
22:26:15	9965/9965	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:43%20GMT	https://ammaripa.com/download?id=115	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/downloadbce2.html	(from https://ammaripa.com/index)
22:26:16	59672/59672	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Aug%202020%2014:53:15%20GMT	https://ammaripa.com/images/Odyssey.PNG	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/Odyssey.png	(from https://ammaripa.com/index)
22:26:16	9982/9982	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:43%20GMT	https://ammaripa.com/download?id=105	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/download294f.html	(from https://ammaripa.com/index)
22:26:16	9967/9967	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2019:31:44%20GMT	https://ammaripa.com/download?id=30	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/download8bcf.html	(from https://ammaripa.com/index)
22:26:16	3790/3790	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Aug%202019%2003:55:34%20GMT	https://ammaripa.com/images/chimera.jpg	C:/Users/ABO%20OMAR/Desktop/ipa/ammaripa.com/images/chimera.jpg	(from https://ammaripa.com/index)
